Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
0	6	198	0	52	56	0	0	3626	388	26	0	0	14	891	0	3505	56	3474	0	536	3618
250	299	308	28	0	82	0	0	13704	133	0	0	0	1	2790	0	11208	105	7142	0	5676	10820
500	276	337	70	0	40	1	0	19438	27	0	0	0	1	4908	0	21677	85	12851	0	9356	12327
750	251	251	41	32	1	0	0	26147	61	29	0	0	28	6997	0	24891	6	17545	13	13537	25896
1000	299	263	27	0	1	0	61	34718	32	42	12	0	3	8918	0	30938	152	22281	0	16694	33292
1250	291	286	69	1	78	0	0	48251	75	30	29	0	33	10815	0	39443	7	27784	0	21345	35612
1500	250	375	90	26	40	0	0	47988	94	12	0	0	0	13568	0	46553	6	34653	0	27989	45128
1750	314	270	57	0	0	0	13	61210	72	0	0	0	1	15952	24	58093	8	38043	0	29158	53273
2000	349	262	2	0	13	0	0	65533	63	57	0	0	3	19085	12	64393	426	46271	0	33839	57374
2250	254	273	34	13	3	0	0	67900	135	14	0	0	2436	20026	0	66742	7	44877	0	37469	75826
2500	340	275	154	0	2	0	0	79693	75	83	0	0	54	21539	0	77271	7	56163	0	38864	87868
2750	324	251	36	0	30	0	32	89239	92	0	0	0	96	23098	16	82468	116	60365	0	48267	84646
3000	259	261	33	0	3	0	0	96086	68	10	14	0	31	32928	0	95633	6	67239	0	46768	93577
3250	320	279	20	54	45	2	36	107278	99	0	276	0	2	27730	0	112855	31	68601	0	55055	99523
3500	317	254	39	13	1	0	23	117048	416	40	14	0	56	29386	0	113488	7	62567	0	54910	103358
3750	5293	271	61	0	166	0	24	117093	66	43	0	0	17	31523	22	113164	6	83253	14	62789	117282
4000	393	294	19	64	16	38	0	131376	57	28	0	0	19	35700	0	125549	657	85820	12	61395	118908
4250	464	252	53	1	3	55	0	130817	76	29	0	0	2	35413	0	128687	7	84575	0	71405	131679
4500	457	255	69	11	2	80	0	140805	128	1	0	0	7	41435	12	135609	19	89211	0	80433	133494
4750	492	293	16	0	3	0	0	187352	49	35	0	0	123	39332	0	144578	7	94129	0	78980	144553
5000	357	340	55	0	1	0	0	203143	2460	19	12	0	14	40615	0	145053	6	106319	0	79529	151686
5250	279	259	13	0	0	0	0	174670	231	0	0	0	35	48568	0	163824	8	110368	0	87578	155775
5500	362	301	55	0	3	51	0	163579	110	26	0	14	8	45736	0	170451	8	112256	0	87494	159998
5750	281	301	29	0	0	0	0	192123	162	1	39	12	10	50228	0	172484	7	120020	0	92652	169922
6000	275	1091	31	0	2	0	0	190179	142	53	0	0	32	61430	17	191794	8	119975	0	96741	182499
6250	357	336	33	13	6	0	0	199837	144	1	0	0	13	53834	0	186228	7	126853	0	100924	194719
6500	1635	385	58	0	1	0	0	211409	96	4	0	0	63	59039	14	184129	7	131420	0	102774	176465
6750	397	364	40	0	5	0	0	213486	113	74	18	0	7	56934	0	213698	8	138350	0	96433	207622
7000	326	292	64	0	44	0	0	229373	121	28	0	12	67	64036	0	211741	7	149816	0	112240	208644
